NP;N;M;G;Time
1;1000;1000;10;5,100708
2;2000;1000;10;7,439409
3;3000;1000;10;9,397197
4;4000;1000;10;10,821327
5;5000;1000;10;9,298033
6;6000;1000;10;15,031538
7;7000;1000;10;12,554657
8;8000;1000;10;16,549566
9;9000;1000;10;17,138591
10;10000;1000;10;17,777991
11;11000;1000;10;17,380534
12;12000;1000;10;24,157644
13;13000;1000;10;25,357857
14;14000;1000;10;26,706512
15;15000;1000;10;28,578803
16;16000;1000;10;28,286085
17;17000;1000;10;31,905959
18;18000;1000;10;29,054329
19;19000;1000;10;30,606732
20;20000;1000;10;36,198092
21;21000;1000;10;37,203016
22;22000;1000;10;38,189226
23;23000;1000;10;40,068183
24;24000;1000;10;38,396301
